protocol_pair,protocol_label_DC,protocol_label_DCAC,Q_nom_Ah,Q_final_DC_Ah,Q_final_DCAC_Ah,Q_final_diff_Ah,Q_final_abs_diff_Ah,Q_final_diff_mAh,Q_final_abs_diff_mAh,Q_final_diff_status,Q80_nominal_Ah,Q90_nominal_Ah,Q80_nominal_fraction_of_Q_nom,Q90_nominal_fraction_of_Q_nom,Q80_common_Ah,Q90_common_Ah,Q80_common_fraction_of_Q_nom,Q90_common_fraction_of_Q_nom,Q_common_final_Ah_internal
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C DC,0.3C+0.4C 0.1tau,3.4,3.259324058975556,3.2551496609838653,0.004174397991690615,0.004174397991690615,4.174397991690615,4.174397991690615,final_Q_consistent,2.72,3.06,0.8,0.9,2.6041197287870923,2.929634694885479,0.7659175672903212,0.8616572632016115,3.2551496609838653
0.3C DC vs 0.3C+0.4C 10tau,0.3C DC,0.3C+0.4C 10tau,3.4,3.259324058975556,3.2529391483283656,0.006384910647190267,0.006384910647190267,6.384910647190267,6.384910647190267,final_Q_consistent,2.72,3.06,0.8,0.9,2.6023513186626928,2.927645233495529,0.7653974466654979,0.8610721274986851,3.2529391483283656
0.3C DC vs 0.3C+0.4C 1tau,0.3C DC,0.3C+0.4C 1tau,3.4,3.259324058975556,3.2590231394079345,0.0003009195676213494,0.0003009195676213494,0.3009195676213494,0.3009195676213494,final_Q_consistent,2.72,3.06,0.8,0.9,2.607218511526348,2.933120825467141,0.7668289739783377,0.8626825957256298,3.2590231394079345
