protocol_pair,I_DC_A,I_AC_A,frequency_Hz,T_AC_s,geometry_phase_offset_rad,DC_I_error_mean_A,DC_I_error_rmse_A,DC_I_error_max_abs_A,DC_Q_error_final_mAh,DC_Q_error_max_abs_mAh,DCAC_I_error_mean_A,DCAC_I_error_rmse_A,DCAC_I_error_max_abs_A,DCAC_Q_error_at_segmentB_mAh,DCAC_Q_error_max_abs_mAh,fp_err_DC_mean_s,fp_err_DC_p95_abs_s,fp_err_DCAC_mean_s,fp_err_DCAC_p95_abs_s,dt_resid_mean_s,dt_resid_p95_abs_s,reconstruction_error_max_abs_s
0.3C DC vs 0.3C+0.7C 0.1tau,1.02,2.38,0.1433828316143201,6.974335690969341,0.1162389281828226,-0.00010768005085286247,0.00010817368113741228,0.000172000000000061,-0.28230784765570505,0.28230784765570505,0.0010533497186553974,2.5431674561959325,4.759999990950347,8.448144237669819,8.448144237669819,0.5088102582811669,0.9448587604076237,1.2667891648386356,4.312908502416391,-0.7579789065574384,3.6963587396003503,3.637978807091713e-12
0.3C DC vs 0.3C+0.7C 10tau,1.02,2.38,0.0014338283161432,697.4335690969347,-0.0502654824574366,-0.00010750443686008647,0.00010802186185845353,0.000172000000000061,-0.26246994482104213,0.26246994482104213,-0.005149764095302342,0.15808574882215054,0.4089501449453794,-12.252445662641165,12.992993087273419,0.47549685707294154,0.8787380816967925,-5.156319682949116,11.689359813719784,5.631816540022325,10.835424920618243,2.7284841053187847e-12
0.3C DC vs 0.3C+0.7C 1tau,1.02,2.38,0.014338283161432,69.74335690969347,0.0125663706143592,-0.00010753516275971145,0.00010804476146977945,0.000172000000000061,-0.26884687539885377,0.26884687539885377,-0.0014580832301312224,2.0981756135561533,4.486531614513737,-4.082546670978182,14.995986250082805,0.4847390740034144,0.8971282831520511,-4.058239807735465,39.17144964544445,4.542978881738904,39.53445265825271,1.8207657603852567e-12
