protocol_id,mean_abs_delta_t_s,max_abs_delta_t_s,mean_abs_delta_neg_avg_sto,max_abs_delta_neg_avg_sto,mean_abs_delta_neg_surface_sto,max_abs_delta_neg_surface_sto,mean_abs_delta_U_NE_mV,max_abs_delta_U_NE_mV,mean_abs_delta_eta_n_V,max_abs_delta_eta_n_V
DC03,9.686118573881686e-12,4.001776687800884e-11,1.3046529349755864e-05,1.504260131623969e-05,1.3112121735909116e-05,1.5054508093581553e-05,0.008906474556311182,0.035578250894786834,4.042106843787294e-06,7.755124201834496e-06
fixed_AC0p38,0.005549439598566437,0.02038320964675222,3.7142677316817505e-05,8.491775886920738e-05,3.819899414187533e-05,8.748262349278502e-05,0.027219639649015904,0.2081750216104865,1.1405648910893588e-05,3.004093657669321e-05
fixed_AC0p7,0.004946537906108119,0.03069956661965989,9.05283980461423e-05,0.00026754747453416883,9.106337275114049e-05,0.0002654954272603982,0.028258214907661994,0.0867801470716052,1.1122344159095812e-05,6.239624304300168e-05
sched_v2_conservative,0.009034287598752258,0.03876807672986615,3.8962806239971754e-05,6.162108881468953e-05,3.9269837732770204e-05,6.163306264750368e-05,0.02187690698485774,0.1299878633945184,1.0055995877186891e-05,3.7267864815851426e-05
